Organization Name,Popular Name,Discipline / Field,Category,Application Number,City,State,Zip,Project Description,Fiscal Year,Congressional District,Grant Amount,Grant From Date,Grant To Date
Leveraging Investments in Creativity,aka LINC,,Accessibility,08-3900-7006,New York,NY,10001-1905,"To support, though a Chairman's extraordinary action award, the design and development phase of the National Artists' Health Insurance Initiative. Project activities will include the re-launch of the LINC web-site, printing of materials promoting web based information tools, and the development of a marketing and distribution plan in conjunction with the National Assembly of State Arts Agencies.",2008,10,"$25,000 ",10/1/2008,5/31/2009
Leveraging Investments in Creativity,aka LINC,Presenting & Multidisciplinary Works,Access to Artistic Excellence,09-5400-7143,New York,NY,10001-1905,"To support the National Artist Health Insurance Initiative. The program will improve access to affordable, quality healthcare for artists of all arts disciplines through targeted information and programs.",2009,10,"$40,000 ",7/1/2009,6/30/2010
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Art Works,14-3300-7141,New York,NY,10001-2303,"To support the planning phase for David Gordon's Archive-ology Project as well as the transfer of materials to the New York Public Library for the Performing Arts Jerome Robbins Dance Division. The archiving project will create an environment where one will be able to relocate and reconfigure moving images, documents, and/or objects of Gordon's work.",2014,10,"$10,000 ",6/1/2014,4/30/2015
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Art Works,13-3300-7060,New York,NY,10001-2303,"To support a new work by David Gordon and accompanying residency activities. For this new work, Gordon will re-examine and re-contextualize an earlier works, ""Uncivil Wars.""",2013,10,"$10,000 ",1/1/2013,3/31/2014
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,11-3300-7092,New York,NY,10001-2303,"To support the production of ""Beginning of the End,"" choreographed by David Gordon. The dance theater work will feature character-based movement incorporated with text adapted from the play Six Characters in Search of an author, by Luigi Pirandello (1867-1936).",2011,10,"$10,000 ",6/1/2011,6/30/2012
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,10-3300-7122,New York,NY,10001-2303,"To support the creation of a new work by choreographer David Gordon based on ""Six Characters in Search of an Author"" by playwright Luigi Pirandello. The dance theater work will be created in a workshop setting, and will be adapted from Six Characters in Search of an Author by playwright Luigi Pirandello (1867-1936).",2010,10,"$10,000 ",1/1/2010,2/28/2011
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,09-3300-7090,New York,NY,10001-2303,"To support the creation and presentation of a new work by choreographer David Gordon titled, Uncivil Wars: Moving with Brecht  Eisler. A1 - removed costs associated with Walker Art Center since there was potential overlap with 09-5400-7064 (JC).",2009,10,"$10,000 ",1/1/2009,4/30/2009
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,07-3300-7057,New York,NY,10001-2303,"To support the preparation of David Gordon's body of work for archival storage, as well as the rehearsal and touring of ""Dancing Henry Five."" The project will include the remounting of ""Dancing Henry Five"" for a national tour.",2007,10,"$10,000 ",1/1/2007,7/31/2007
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,06-3300-7062,New York,NY,10001-2303,To support the creation of a new dance theater work by artistic director and choreographer David Gordon. The work will be based on Aristophane's The Birds and will premiere at Danspace Project at St. Marks Church in New York.,2006,10,"$10,000 ",1/1/2006,6/30/2006
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Creativity / Presentation,04-3300-5081,New York,NY,10001-2303,To support the creation and presentation of a new work by choreographer David Gordon. The work will be produced at Danspace Project at St. Mark's Church.,2004,10,"$10,000 ",12/1/2003,1/31/2004
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Creativity / Presentation,00-3300-5010,New York,NY,10001-2303,To support the creation and presentation of a new work. Wind in the Willows War Dance will be choreographed by David Gordon and performed at Danspace at St. Mark's Church in New York City.,2000,10,"$10,000 ",12/1/1999,11/30/2000
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Theater,Creativity / Presentation,98-3200-5060,New York,NY,10001-2303,"To support the creation and development of ""Court Dance,"" a new collaborative theater work by David and Ain Gordon. Pick Up Performance Company is requesting support for the creation and development of ""Court Dance,"" a new collaborative work by David and Ain Gordon. The work will be an adaptation of the classic novel ""Bleak House"" by Charles Dickens which is a social commentary on the justice system of nineteenth century England. The adaptation will examine the nineteenth century British legal system as viewed through the sensationalist scrutiny of the twentieth century American media.",1998,10,"$14,100 ",6/1/1998,5/31/1999
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,05-3300-7060,New York,NY,10001-2303,"To support the remounting and presentation of Dancing Henry Five, choreographed by David Gordon. The works will be presented in New York City and on a national tour.",2005,10,"$15,000 ",1/1/2005,6/30/2005
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Creativity / Presentation,03-3300-5067,New York,NY,10001-2303,To support the creation and presentation of a new work by choreographer David Gordon. The work will premiere in New York City.,2003,10,"$15,000 ",1/1/2003,6/30/2003
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Creativity / Presentation,02-3300-5089,New York,NY,10001-2303,To support the creation and presentation of a new work. The Private Lives of Dancers will be choreographed to live piano by Artistic Director David Gordon.,2002,10,"$15,000 ",11/1/2001,6/30/2002
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Creativity / Presentation,01-3300-5007,New York,NY,10001-2303,"To support the creation and performance of a new work. Choreographed by David Gordon with an original musical score by composer Jeanine Tesori, the piece will be presented for a two-week run at Danspace Project at St. Mark's Church in New York.",2001,10,"$15,000 ",11/1/2000,12/31/2001
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Art Works,15-3300-7163,New York,NY,10001-2303,"To support the continued development of and an installation/exhibition for David Gordon's Archiveography project. Since donating his archives to the New York Public Library for the Performing Arts at Lincoln Center (LPA), Gordon has been investigating the language of contemporary archive systems. He will continue to annotate his creative process to contextualize his work from his own memory, as well as the memories of former collaborators and performers. He also will adhere to traditional archival practice, including the digitization of videos, photos, scripts, and scores that can be viewed independently. A two-month installation/exhibition will be presented at the LPA Vincent Astor Gallery.",2015,10,"$20,000 ",6/1/2015,4/30/2017
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Art Works,12-3300-7102,New York,NY,10001-2303,"To support the creation and presentation of a new work by choreographer David Gordon. Titled the End of the Beginning, the work is based on material written by the 1934 Nobel Prize winner in Literature, Luigi Pirandello, and is a companion piece to Gordon's recent work, the Beginning of the End.",2012,10,"$20,000 ",1/1/2012,6/30/2012
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,08-3300-7028,New York,NY,10001-2303,"To support completion of the reconstruction of Trying Times, by choreographer David Gordon. The project will include the digitization of Gordon's 45-year body of work, which will be archived at the New York Public Library for the Performing Arts.",2008,10,"$20,000 ",3/1/2008,12/31/2008
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,Access to Artistic Excellence,11-3300-7180,New York,NY,10001-2303,"To support the development of an archive of choreographer David Gordon's 50-year body of work, in consortium with The New York Public Library Astor Lenox and Tilden Foundations. Gordon will articulate and contextualize his eclectic art-making process by providing audio narrations to accompany his materials - ranging from scripts and production notes to press and oral histories with performers.",2011,10,"$25,000 ",6/1/2011,6/30/2012
"Pick Up Performance Company, Inc.",aka Pick Up Performance Co(s,Dance,American Masterpieces,10-3348-7248,New York,NY,10001-2303,,2010,10,"$50,000 ",10/1/2010,12/31/2011
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,1808653-54-18,New York,NY,10001-2505,"To support professional development resources and training for artists. Fractured Atlas will work with communities in California, Michigan, New Mexico, and Texas to deliver education programs for artists not currently using online fundraising tools. Fractured Atlas will partner with local arts agencies and foundations to identify areas of need in each state. Training will be tailored for each community, and may include topics such as fundraising, donor cultivation, audience development, budgeting, and entrepreneurship.",2018,10,"$10,000 ",6/1/2018,12/31/2019
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,17-5400-7188,New York,NY,10001-2505,"To support professional development programs for artists. Fractured Atlas will work with communities in California, Michigan, New Mexico, and Texas to deliver education programs for artists not currently using online fundraising tools. Fractured Atlas will partner with local arts agencies and foundations to identify areas of need in each locale. Training will be tailored for each community, and may include topics such as fundraising, donor cultivation, audience development, budgeting, and entrepreneurship.",2017,10,"$10,000 ",6/1/2017,12/31/2018
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,06-5400-7145,New York,NY,10001-2505,"To support the expansion of Open Arts Network. Professional development and health insurance services will be provided to emerging artists in New York City, the District of Columbia, Austin, and San Francisco.",2006,10,"$10,000 ",6/1/2006,12/31/2007
"Pulse Ensemble Theatre, Inc.",aka Pulse,Challenge America,Challenge America Fast-Track,07-7800-7055,New York,NY,10001-2505,"To support the production of ""THE TEMPEST"" to be staged at Riverbank State Park. The presentation is part of the Harlem Summer Shakespeare Project, a community outreach project designed to bring free theater to the Harlem community.",2007,10,"$10,000 ",5/1/2007,9/30/2007
"Pulse Ensemble Theatre, Inc.",aka Pulse,Challenge America,Challenge America Fast-Track,05-7800-7106,New York,NY,10001-2505,"To support a production of ""A Midsummer Night's Dream"" in Harlem's Riverside State Park and acting workshops for local youth. Community actors/technicians will participate in the production and workshops that instruct youth in theatre.",2005,10,"$10,000 ",5/1/2005,8/31/2005
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,07-5400-7138,New York,NY,10001-2505,To support the Open Arts Network. Emerging artists in New York City and various other U.S. cities will receive career development training and health insurance services.,2007,10,"$12,000 ",6/1/2007,12/31/2008
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,16-5400-7198,New York,NY,10001-2505,"To support the development of a website. Fractured Atlas will create and launch a professional development website to provide artists and arts groups with information about crowdfunding platforms and traditional fundraising tools, as well as educational resources and best practices. Content will be provided to members free-of-charge.",2016,10,"$20,000 ",6/1/2016,12/31/2017
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,15-5400-7131,New York,NY,10001-2505,"To support an online library of professional development resources for artists and arts organizations. Fractured Atlas will build a database that aggregates and organizes existing materials, as well as develop new and targeted resources for arts professionals. The online library will be interactive, allowing artists to request further information and to share their own expertise with colleagues in the field.",2015,10,"$20,000 ",6/1/2015,12/31/2016
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,14-5400-7151,New York,NY,10001-2505,"To support The Open Arts Network. Support services such as insurance, management software, and online access for art space rentals will be delivered to arts groups and independent artists throughout the United States.",2014,10,"$20,000 ",6/1/2014,12/31/2015
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,13-5400-7086,New York,NY,10001-2505,To support the Open Arts Network. Fractured Atlas will deliver support services such as management software and online access for art space rentals to arts groups and independent artists throughout the United States.,2013,10,"$20,000 ",6/1/2013,12/31/2014
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,09-5400-7147,New York,NY,10001-2505,"To support expansion of Open Arts Network, a national collective of arts service organizations. The program will add career development training and health insurance services targeted for emerging artists in various urban cities outside New York City.",2009,10,"$20,000 ",6/1/2009,12/31/2010
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,08-5400-7088,New York,NY,10001-2505,"To support the expansion of the Open Arts Network, a national network of arts service organizations. The program will add career development training and health insurance services targeted for emerging artists in upstate and western New York, New Jersey, and southeastern Pennsylvania.",2008,10,"$20,000 ",6/1/2008,12/31/2009
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,10-5400-7114,New York,NY,10001-2505,"To support expansion of ""Open Arts Network"", a national collective of arts service organizations. The program will add career development training and health insurance services targeted for emerging artists in various urban cities outside New York City.",2010,10,"$30,000 ",6/1/2010,12/31/2011
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,12-5400-7106,New York,NY,10001-2505,"To support an expansion of Chicago Artist Resource, in consortium with the Chicago Artists Coalition. Fractured Atlas will expand Chicago Artists Resources into a national network of local professional development resources for artists.",2012,10,"$35,000 ",6/1/2012,12/31/2013
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Access to Artistic Excellence,11-5400-7126,New York,NY,10001-2505,"To support the ""Open Arts Network,"" a national alliance of arts service organizations. The project will focus on technology and workspace resources, as well as increasing participation in core services: healthcare, fiscal sponsorship, liability insurance, education, and advocacy.",2011,10,"$35,000 ",6/1/2011,12/31/2012
"Fractured Atlas, Inc.",,Presenting & Multidisciplinary Works,Art Works,12-5400-7111,New York,NY,10001-2505,"To support an expansion of the Open Arts Network. This project will focus on acquiring partners in new regions, especially rural areas, and giving them technology and business infrastructure resources.",2012,10,"$40,000 ",6/1/2012,12/31/2013
"Fractured Atlas, Inc.",,Literature,Access to Artistic Excellence,06-5200-7054,New York,NY,10001-2505,"To support publication and promotion costs of literary titles selected through Futurepoem Books' annual, free, open call for manuscripts. The press will advertise the open reading period to creative writing program discussion lists and literary publications nationwide.",2006,10,"$5,000 ",1/1/2006,6/30/2007
"New Group, Inc.",aka The New Group,Theater,Art Works,1829585-32-18,New York,NY,10001-2506,"To support New Group/ New Works, a play and musical development program. The program will consist of developmental in-house and public readings of new plays, and workshops of new musicals. The project will include readings of plays commissioned from Francine Volpe, Mark Gerrard, and Amina Henry. The third annual Spring Reading Festival will offer a high-profile introduction of new writers and plays to the industry and theatergoers. The musical theater development arm of the program will advance work on several projects including Christopher Shinn's ""The World Will Not Contain Us,"" a new musical with music and lyrics by David Hancock Turner.",2018,10,"$10,000 ",1/1/2018,12/31/2018
"New Group, Inc.",aka The New Group,Theater,Access to Artistic Excellence,07-3200-7104,New York,NY,10001-2506,To support the production of The Fever by Wallace Shawn. The play will be directed by Scott Elliott and performed by Wallace Shawn.,2007,10,"$15,000 ",1/1/2007,4/30/2007
"New Group, Inc.",aka The New Group,Theater,Creativity / Presentation,04-3200-5098,New York,NY,10001-2506,"To support a production of ""Roar,"" a new play by Palestinian American writer Betty Shamieh. ""Roar"" looks at an ordinary Palestinian family living in Detroit just after the Gulf War and explores the ways their lives in America are affected by conflicts in the Middle East.",2004,10,"$15,000 ",1/1/2004,8/31/2004
"New Group, Inc.",aka The New Group,Musical Theater,Art Works,1847812-28-19,New York,NY,10001-2506,"To support the development of Black No More, a new musical with book by John Ridley and music and lyrics by Tariq ""Black Thought"" Trotter. The work will be adapted from George S. Schuyler's 1931 novel Black No More: Being an Account of the Strange and Wonderful Workings of Science in the Land of the Free, AD 1933-1940, a seminal work of the Harlem Renaissance. The musical will use satire and science fiction to explore race relations in the United States in a comedic and surprising way. The story will be set during the Harlem Renaissance, with connections to the present through contemporary music and lyrics. The development period will include a 29-Hour Reading Workshop and a full musical workshop with actors, musicians, a director, a choreographer, and a music director.",2019,10,"$20,000 ",1/1/2019,12/31/2019
"New Group, Inc.",aka The New Group,Theater,Art Works,17-3200-7126,New York,NY,10001-2506,"To support a production of ""The Whirligig,"" a new play by Hamish Linklater. The play tells the story of a young girl in rural Massachusetts who is dying as a result of drug addiction. Chronicling the events of a day-in-the-life of a fractured community, the play explores how addiction shapes the lives of those in rural America. The theater will augment the production with a series of initiatives designed to raise cultural consciousness around the issues posed by the play, and will develop a related curriculum in its Scene 1 program for New York public high school students.",2017,10,"$20,000 ",1/1/2017,6/30/2017
"New Group, Inc.",aka The New Group,Theater,Art Works,16-3200-7121,New York,NY,10001-2506,"To support the New Group/New Works Play and Musical Development Program. The program will commission one new play and one new musical, and provide the creators with development opportunities including rehearsals, workshops, and staged readings. Project activities will support the development of ""Black No More"" by John Ridley, a new musical exploring racial identity, in collaboration with musical group The Roots.",2016,10,"$20,000 ",1/1/2016,8/31/2016
"New Group, Inc.",aka The New Group,Theater,Art Works,13-3200-7140,New York,NY,10001-2506,"To support the world premiere production of ""Bunty Berman Presents,"" a new musical by Ayub Khan-Din, directed by Scott Elliott. The musical tells the story of a failing movie studio in Bollywood during the 1950s.",2013,10,"$25,000 ",1/1/2013,6/30/2013
"New Group, Inc.",aka The New Group,Theater,Art Works,12-3200-7094,New York,NY,10001-2506,"To support the world premiere of AN EARLY HISTORY OF FIRE by David Rabe. Set in 1962 and based on Rabe's upbringing in a small Midwestern town, the play portrays Danny, a young man whose life is frustratingly limited by his trouble-making childhood friends, and his father, a German immigrant crippled by nostalgia.",2012,10,"$31,000 ",1/1/2012,6/30/2012
"New Group, Inc.",aka The New Group,Musical Theater,Access to Artistic Excellence,10-2800-7015,New York,NY,10001-2506,"To support the world premiere of ""The Kid,"" a new musical with music by Andy Monroe, lyrics by Jack Lechner, and libretto by Michael Zam. The musical will be based on the best-selling memoir of the same name by Dan Savage.",2010,10,"$35,000 ",1/1/2010,12/31/2010
"New Group, Inc.",aka The New Group,Theater,Recovery Act,09-3288-7271,New York,NY,10001-2506,,2009,10,"$50,000 ",7/1/2009,6/30/2010
"En Garde Arts, Inc.",,Theater,Creativity / Presentation,98-3200-5046,New York,NY,10001-2809,"To support En Garde Art's 1998 ""Street Stories: A Journey Through Through The Lower East Side,"" a theatricalized walking tour through New York City's lower east side that will uncover and celebrate the cultural history of this vibrant neighborhood. The mission of En Garde Arts is to produce site-specific theater and to commission playwrights, directors, composers, and performance artists to create events that call attention to treasured city landmarks, and historic streets and neighborhoods. With this proposal the theater is seeking support for ""Walking Tour,"" a walk through the lower east side, the original melting pot and ground zero for the convergence and layering of distinct cultures and immigrants. In conjunction with the artists and historians, En Garde Arts will engage in a process of uncovering the cultural, social, economic, political and architectural history of the lower east side and giving life to this history through the theater.",1998,12,"$7,050 ",6/1/1998,12/31/1998
"Manhattan New Music Project, Inc.",aka MNMP,Arts Education,Learning in the Arts for Children & Youth,08-5100-8006,New York,NY,10001-2812,"To support Open The World To Children With Autism (OWCA). Teaching artists will be trained to collaborate with classroom teachers to teach music, theater, dance, and visual arts to targeted students who have severe cognitive, emotional, and physical challenges.",2008,12,"$20,000 ",7/1/2008,6/30/2009
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,09-3100-7430,New York,NY,10001-3813,,2009,12,"$10,000 ",7/1/2009,1/31/2010
"Chamber Music America, Inc.",aka,Design,Our Town,16-4292-7126,New York,NY,10001-3813,"To support creative placemaking approaches within the chamber music field, a building knowledge about creative placemaking project. Chamber Music America will facilitate a pilot artist residency program in Louisiana cultural districts to explore how ensembles and other performing artists can integrate their work into the civic fabric of neighborhoods more effectively. Louisiana Office of Cultural Development will identify cultural districts for the pilot program, with a focus on places ripe for experimentation with the performing arts. Following lessons learned through the pilot artist residency program, Chamber Music America, in partnership with Project for Public Spaces, will design interactive learning sessions, webinars, and best practice case studies that ultimately will inform a creative placemaking toolkit for ensemble musicians nationwide.",2016,12,"$100,000 ",8/1/2016,12/31/2018
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,11-3100-7037,New York,NY,10001-3813,"To support CMA's National Leadership Initiative. Designed to build leadership skills in the chamber music field, the project will provide professional services to members through consultancies, on-site technical assistance, special publications, a Web site, and a national conference in New York City.",2011,12,"$100,000 ",7/1/2011,6/30/2012
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,09-3100-7014,New York,NY,10001-3813,"To support the National Leadership Initiative. Designed to build leadership skills in the chamber music field, the project will provide professional services to members through consultancies, on-site technical assistance, special publications, a Web site, and a national conference in New York City.",2009,12,"$100,000 ",7/1/2009,6/30/2010
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,08-3100-7039,New York,NY,10001-3813,"To support the National Leadership Initiative. Designed to build leadership skills in the chamber music field, the project will provide professional services to members through consultancies, on-site technical assistance, special publications, a Web site, and a national conference in New York City.",2008,12,"$100,000 ",7/1/2008,6/30/2009
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,07-3100-7018,New York,NY,10001-3813,"To support the National Leadership Initiative. Designed to build leadership skills in the chamber music field, the project will provide professional services to members through consultancies, on-site technical assistance, special publications, a Web site, and a national conference in New York City.",2007,12,"$100,000 ",7/1/2007,6/30/2008
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,06-3100-7020,New York,NY,10001-3813,"To support the National Leadership Initiative. Designed to build leadership skills in the chamber music field, the project will provide professional services to members through consultancies, on-site technical assistance, special publications, a Web site, and a national conference in New York City.",2006,12,"$100,000 ",7/1/2006,6/30/2007
"Chamber Music America, Inc.",aka,Music,Access to Artistic Excellence,05-3100-7087,New York,NY,10001-3813,"To support the National Conference, CMA ""Plus"" Activities, Education and Residency Institutes, and Print and Electronic Publications. Designed to build leadership skills in the chamber music field, the project will provide professional services in several areas including consultancies, on-site technical assistance, special publications, a Web site, and a national conference.",2005,12,"$100,000 ",7/1/2005,6/30/2006
"Chamber Music America, Inc.",aka,Music,Organizational Capacity / Stabilization,04-3100-9008,New York,NY,10001-3813,"To support the National Leadership Initiative. Designed to build leadership skills in the chamber music field and to develop a new generation of leaders, the project will provide professional services in several areas, including consultancies, on-site technical assistance, special publications, a Web site, and a national conference.",2004,12,"$100,000 ",7/1/2004,6/30/2005
