address_added,city_added,state_added,zip_added,Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
2300 Southern Blvd, Bronx,NY,10460,Bronx Zoo,IG-00-00-0153-00,2000,"$112,500.00",,General Operating Support,,Bronx,NY,,
2300 Southern Blvd, Bronx,NY,10460,Bronx Zoo,IG-00-98-0866-98,1998,"$112,500.00",,General Operating Support,,Bronx,NY,,
2300 Southern Blvd, Bronx,NY,10460,Bronx Zoo,IL-00-98-0039-98,1998,"$50,000.00",,National Leadership Grants for Museums,Museums in the Community,Bronx,NY,,"The Bronx Zoo and Homes for the Homeless will work together to provide an after-school program entitled, After-School Adventures in Wildlife Science.  The life science program will be developed to meet the special educational and emotional needs of homeless students and their families.  Children from some 80 homeless families in the South Bronx will receive essential academic knowledge and skills that they need to succeed in school and break the cycle of homelessness. *Awarded under Museum Leadership Initiatives program - now part of National Leadership Grants for Museums"
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College,LG-46-13-0253-13,2013,"$25,000.00",,Sparks! Ignition Grants for Libraries,,Bronx,NY,,"The Leonard Lief Library and Department of Art at Lehman College will create an Animated Information Literacy Advocate to explore the feasibility of using animation to foster information literacy in college-­age students. Information literacy skills, including assessing information, locating sources, thinking critically, and acting ethically, are especially vital for young people entering the workforce. Four videos featuring an animated advocate developed using Kabuki RealTime Animation software will introduce learners to critical thinking in dramatic scenarios. Focus groups will be conducted to measure student satisfaction and measure outcomes of learning. The advocate will be the first animated character to deliver information literacy instruction, providing the broader library field with a new area of research in online instruction as well as the ability to test three pedagogical strategies."
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,MA-04-11-0092-11,2011,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,"The Lehman College Art Gallery will begin a project called “Community Arts Connections” to sustain the gallery's existing “High School Partnerships” program, expanding it to include middle schools. The program will offer a credit-bearing teacher training course geared for elementary and middle-school teachers, provide extended weekend programs for families and children up to age 8, and offer a range of community outreach programs for adult visitors. IMLS funds will support project activities such as gallery tours, art workshops, after-school workshops, a college mentor program, an intern program, a portfolio program, professional development sessions, an intensive two-week teacher training course, bilingual (English/Spanish) weekend workshops, public art tours, and artists' talks and demonstrations."
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,MA-04-08-0044-08,2008,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,,
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,MA-03-05-0005-05,2005,"$107,161.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,NO-00-00-0017-00,2000,"$72,800.00",,National Leadership Grants for Museums,Museums Online,Bronx,NY,,
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,IG-00-99-0374-99,1999,"$71,400.00",,General Operating Support,,Bronx,NY,,
250 Bedford Park Blvd W, Bronx,NY,10468,Lehman College Art Gallery,IG-00-97-0959-97,1997,"$63,400.00",,General Operating Support,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-10-16-0420-16,2016,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Bronx,NY,,"The New York Botanical Garden (NYBG) will conduct Phase I of the NYC EcoFlora Project which will include the development and prototyping phase of a database of naturally occurring plant species, and their relationships with other organisms and physical conditions that allow plants to exist. This major New York City-wide initiative, led by NYBG, will leverage local natural history collections, biodiversity data, and citizen scientists to understand the dynamics of the city's native plant species. Project activities include brainstorming and protocol development workshops, the design of the NYC EcoFlora Project's website, and piloting citizen science data collection on two tree species in NYBG's 50-acre native forest. The findings from this phase will inform the NYC EcoFlora Project's city-wide launch in 2018. The project will provide a model for how informal science institutions can collaborate to engage the public in real-world scientific research, by compiling and leveraging biodiversity data to improve our environmental understanding and conservation for urban regions."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,LG-70-15-0138-15,2015,"$846,457.00",Library,National Leadership Grants for Libraries,National Digital Platform,Bronx,NY,Digital Initiatives,"The New York Botanical Garden, Harvard Ernst Mayr Library of the Museum of Comparative Zoology, Missouri Botanical Garden, and Smithsonian Institution Libraries, as part of the Biodiversity Heritage Library (BHL), will work to position BHL as an on-ramp for biodiversity content providers interested in contributing to the national digital library infrastructure through the Digital Public Library of America. The project will work to: 1) expand public access to biodiversity literature; 2) onboard at least one hundred new small organizations (libraries, museums, societies and publishers) into providing content through the network; 3) serve as a model for national ""subject-based"" content hubs; and 4) develop processes that will ensure long-term biodiversity contributions to the Digital Public Library of America. Project activities will include training and quality control for content providers, national outreach to engage the broader community, and system enhancements to BHL's existing digital infrastructure."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-10-15-0133-15,2015,"$150,000.00",Museum,Museums for America,Learning Experiences,Bronx,NY,,"The New York Botanical Garden will design, fabricate, and evaluate a new exhibition entitled, ""Nature's Artifacts: Secrets of the Steere Herbarium,"" to highlight the importance of the William and Lynda Steere Herbarium and its 7.4 million preserved plant specimens. The exhibit will explore herbarium specimens as museum objects and historical artifacts that contain irreplaceable scientific data, and draw attention to how biological collections can help answer questions about our everyday life, communities, and environment. The garden will hold a scholarly symposium, curator-led tours, and hands-on education activities for children. The project will inform best practices for developing compelling public exhibitions on biological collections and help to strengthen and communicate to the public the Garden's position as a leading plant research institution that plays an active role in global biodiversity conservation. "
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-10-14-0388-14,2014,"$144,824.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Bronx,NY,"STEM, Community, Community, Early Learning","The New York Botanical Garden (NYBG) will plan, implement, and evaluate educational programming for its upcoming garden-wide exhibition, ""Frida Kahlo's Garden."" The programming and interpretation will create an immersive, compelling, interdisciplinary learning experience that merges arts, humanities, and science themes. Programming will celebrate Mexican culture, immersing visitors in the music, dance, food, and fashion that influenced Kahlo and continues to inspire people today. Through the exhibit and programming, visitors will gain insight into the impact of Kahlo's interest in the natural world on her artwork; understand the continuing impact of Mexican nature, nationalism, and intellectual history on arts and culture; and make personal connections between art, nature, and their own lives. The project will also provide a model for other botanical gardens to use to create interdisciplinary exhibitions."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-10-13-0430-13,2013,"$113,167.00",,Museums for America,Learning  Experiences (NLG-Museums),Bronx,NY,"STEM, Community, Community, Early Learning","The New York Botanical Garden will undertake a two-year project to develop, implement, and evaluate new edible gardening programs and to measure the effectiveness of existing programs. This project will help the garden expand its gardening initiatives, culminating in the opening of a new year-round edible gardening complex that will be known as The Edible Academy. Scheduled to open in early 2015, The Edible Academy will expand the footprint of the existing Ruth Rea Howell Family Garden through additional gardening space, new classrooms, and a greenhouse. The garden's programming will increase from six months per year to year-round, which will double the number of people served by edible gardening programs to approximately 80,000 visitors."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-04-12-0243-12,2012,"$132,000.00",,Museums for America,Engaging Communities,Bronx,NY,STEM,"New York Botanical Garden's Everett Children's Adventure Garden opened in 1998 to teach children (aged seven to twelve) fundamental lessons in plant science. The garden has 12 acres of indoor and outdoor inquiry-based learning galleries, hands-on interactive exhibits, immersive natural environments, and programming. The New York Botanical Garden will conduct a detailed and comprehensive one-year evaluation study of the garden. The goals of the project include completing a thorough evaluation of the existing exhibit and landscape, researching the emerging theory that STEM (Science, Technology, Engineering, and Math) experiences can occur in a nature play setting, and evaluating the effectiveness of proposed new exhibits and space design. The proposed project will serve three core audiences: parents/caregivers and their children, teachers and students, and teen docents."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-04-11-0438-11,2011,"$150,000.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The New York Botanical Garden will use its funding to develop and implement a 2012 exhibition, “Monet's Garden: Impressions of Giverny.” The exhibition, scheduled to run between May 19 and October 21, 2012, will explore the importance of plants and gardens as a source of inspiration for artists in general and for Claude Monet in particular. Visitors will learn that Monet's art was inspired by nature and that his garden was shaped by his art. Located in venues throughout the Garden's National Historic Landmark grounds, including the Enid A. Haupt Conservatory and the LuEsther T. Mertz Library, “Monet's Garden” will provide insight into Giverny's creation, design, and impact on art and gardening."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,AM-00-10-0005-10,2010,"$10,000.00",,National Medal for Museum and Library Service,,Bronx,NY,Community,"Thousands of plants, herbs, fruits, vegetables, and trees thrive on 250 acres of preserved green space carefully cultivated and maintained by the New York Botanical Garden. An advocate for the plant kingdom, the Garden uses its expertise and facilities to present programs, events, exhibitions, and classes that emphasize the importance of environmental conservation, healthy living, and science education, as well as strengthen the community. Twenty-two years ago, the Bronx was overrun with abandoned lots and buildings, and neighborhoods were losing their sense of community. To help transform the community, the Garden piloted Bronx Green-Up, a horticulture outreach program that works with community groups to beautify, stabilize, and revitalize urban neighborhoods by planting public gardens in abandoned spaces."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-05-10-0504-10,2010,"$111,038.00",,Museums for America,Collections Stewardship,Bronx,NY,,"The New York Botanical Garden will incorporate the Kohlmeyer Herbarium of Marine Fungi into the William and Lynda Steere Herbarium. The Kohlmeyer Herbarium is an invaluable collection of 6,000 dried and fluid-preserved specimens of marine fungi and 17,500 permanent microscopic slides. The project will help to protect a unique, extraordinarily well documented and scientifically relevant collection and make it available to the scientific community through direct consultation and online via the C.V. Starr Virtual Herbarium. These data will be the reference point for all future work on marine fungi, including their identification and evolution, as well as the key to understanding the role of these organisms in marine and estuarine environments. By organizing data in a standardized format, the project will facilitate the interpretation of information across multiple institutions and support wide-scale scientific collaborations."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-05-08-0011-08,2008,"$147,249.00",,Museums for America,Collections Stewardship,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-01-07-0403-07,2007,"$140,000.00",,Museums for America,Sustaining Cultural Heritage,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-02-06-0129-06,2006,"$150,000.00",,Museums for America,Supporting Lifelong Learning,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,CM-00-05-0063-05,2005,"$496,000.00",,Congressionally-Directed Grants,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,MA-02-05-0133-05,2005,"$150,000.00",,Museums for America,Supporting Lifelong Learning,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,CM-00-04-0072-04,2004,"$397,640.00",,Congressionally-Directed Grants,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IC-05-04-0055-04,2004,"$17,250.00",,,Provision of Optimum Environment,Bronx,NY,,"To rehouse the Garden's more than 10,000 plans in its Lord and Burnham Collection of Architectural Drawings and Prints in steel flat files, and to purchase conservation supplies.   Applicant Match: $51,771."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,CM-00-03-0054-03,2003,"$496,750.00",,Congressionally-Directed Grants,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IC-04-02-0035-02,2002,"$50,000.00",,,Treatment of Collections,Bronx,NY,,"To conduct a detailed condition survey of approximately 3,000 pieces of original art in the Garden's Art and Illustration Collection.  The pieces will then be rehoused in protective enclosures."
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,CM-00-01-0024-01,2001,"$85,000.00",,Congressionally-Directed Grants,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IG-00-01-0278-01,2001,"$112,500.00",,General Operating Support,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IC-00-00-0120-00,2000,"$50,000.00",,,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IG-00-99-0089-99,1999,"$112,500.00",,General Operating Support,,Bronx,NY,,
2900 Southern Blvd, Bronx,NY,10458,New York Botanical Garden,IC-00-97-0047-97,1997,"$50,000.00",,,,Bronx,NY,,
52 Chambers St , New York,NY,10007,New York City Department of Education,LG-07-14-0157-14,2014,"$499,967.00",Library,National Leadership Grants for Libraries,Demonstration,New York,NY,,"The New York City Department of Education will build a digital gateway for students and teachers called “Project ECS@ESC: Encouraging Connections through STEM” at the Environmental Study Center. This will offer rich and engaging experiential environmental science programs for students and teachers at all grade levels. The project will develop a digital depository of educational materials and digital resources that connect instructional content and programs. Educators and students will access the instructional resources beyond the walls of ESC, facilitating STEM-focused inquiry experiences in the classroom and utilizing instructional materials, e-content, and digital resources. It will also create a digital depository using Springshare's Libguides, an online content management system, to provide e-content focused on STEM topics and themes."
675 W 252nd St, Bronx,NY,10471,Wave Hill,MA-04-08-0101-08,2008,"$124,375.00",,Museums for America,Engaging Communities,Bronx,NY,,
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,MA-04-11-0417-11,2011,"$138,996.00",,Museums for America,Engaging Communities,Bronx,NY,Community,"The Bronx Zoo will develop and design a new children's exhibition called “Safari Adventure.” The project provides an introduction to wildlife for children in the Bronx, and throughout the metropolitan area of New York, many of whom have little contact with nature. The exhibit will have two learning goals: 1) adults will learn how important it is for children to spend time in nature, become more aware of green spaces in the community, and more informed about how they can help wildlife; and 2) children will make connections between the animals in Africa and the animals in their everyday lives and learn about different ways to care for animals."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,MA-04-10-0256-10,2010,"$149,991.00",,Museums for America,Engaging Communities,Bronx,NY,"STEM, Community","The Wildlife Conservation Society's Bronx Zoo has developed a well-regarded distance-learning program called “Distance-learning Expeditions” that features live, instructor-led videoconferencing sessions with school classrooms across the U.S. The zoo will use its grant to sustain and enhance this program. The program enables students to “travel” beyond school walls to learn about the earth, the environment, and the tremendous diversity of life on our planet. In addition to live, close-up views of many of the zoo's most charismatic animals, the sessions include a variety of small-group studies and problem-solving activities. “Distance-learning Expeditions” has been shown through evaluations to be highly effective at engaging students in environmental science learning."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,LG-50-07-0201-07,2007,"$29,775.00",Library,National Leadership Grants for Libraries,Planning Grants,Bronx,NY,,"The Wildlife Conservation Society, in partnership with Poet's House, will build on an earlier IMLS-funded project that brought poetic expression to the Central Park Zoo by hiring a poet-in-residence who assisted with the development of zoo signage and contributed innovative language to visual resources to promote conservation. The planning project will extend this concept to five diverse communities across the country, tentatively identified as New Orleans, Louisiana; Salt Lake City, Utah; Milwaukee, Wisconsin; Little Rock, Arkansas; and Jacksonville, Florida. The planning project will engage libraries in each community with a local zoo and help them to develop partnerships that promote conservation and draw on local strengths and resources."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,MA-03-07-0016-07,2007,"$150,000.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,MP-00-06-0030-06,2006,"$340,620.00",,21st Century Museum Professionals Program,,Bronx,NY,,"The Wildlife Conservation Society's Bronx Zoo will partner with Miami's Metrozoo, Chicago's Brookfield Zoo, and Tucson's Reid Park Zoo to disseminate a successful educational program to other institutions throughout the nation.  SPARKS—Supporting Parents in Advocacy, Reform and Knowledge in Science—has proven to be highly effective in helping museums redefine their relationships with parents and assume a more central role in meeting the educational needs of working families.  Funding will support the establishment of SPARKS at 28 other zoos, museums, and science centers, where parents can engage their children in hands-on science learning.  The project will provide museum professionals with the skills to train parents in effective teaching strategies.  Funding will also support Family Science Fairs at host institutions to enable parents to share the experience of shared learning with the broader community.  The project will also include a technical assistance program and a hotline that will foster a long-term peer support network for museum professionals."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,LG-25-05-0102-05,2005,"$996,236.00",,National Leadership Grants for Museums,Research,Bronx,NY,,"The Wildlife Conservation Society will work with research evaluators from the American Zoo and Aquarium Association (AZA), as well as experts in market forecasting and metrics development, to develop an assessment tool that will enhance the Society's understanding of how the general public values visits to zoos and aquariums. A variety of methods and tools such as a symposium, focus groups, and case studies will be used to test this new metric and assess its full potential. The results from these studies will be tabulated and disseminated to the AZA community through workshops, handouts, and presentations to allow organizations to adopt this new evaluative tool. Expected outcomes from this research include determining the value of zoos and aquariums to the community and their role in culture, increasing literacy in the profession regarding the long-term community benefit, and increasing effectiveness of park evaluation, and providing practical strategies for assessing exhibit and program planning in relation to long-term community benefits."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,MA-03-04-0616-04,2004,"$150,000.00",,Museums for America,Serving as Centers of Community Engagement,Bronx,NY,,"Purpose: Serving as Centers of Community Engagement  The world's largest urban zoo-the Bronx Zoo-is one of five education and conservation centers operated by the Wildlife Conservation Society. Over the past five years, the zoo has developed a pioneering parent-involvement program called Project SPARKS (Supporting Parents in Advocacy, Reform, and Knowledge about Science). The SPARKS pilot, which ended in September 2003, was highly effective in engaging parents in support of their children's science education. The program consisted of two primary components: (1) a series of workshops that prepared parents to engage their children in science learning and support their children's school science education and (2) a series of Family Science Fairs at the zoo that enabled the workshop graduates to teach thousands of other parents about the importance of science literacy, the need for parental engagement, and the crucial role museums play in augmenting science education. In this project, the Bronx Zoo will expand the SPARKS pilot to involve the entire New York City Department of Education Instructional Region I, which encompasses 109 schools and more than 93,000 students in the Bronx."
2300 Southern Blvd, Bronx,NY,10460,Wildlife Conservation Society,LG-22-03-0288-03,2003,"$250,000.00",,National Leadership Grants for Museums,,Bronx,NY,,"The Wildlife Conservation Society proposes a project, at its Bronx Zoo site, to offer professional development for educators at small, informal science institutions, such as zoos, nature centers, aquariums, botanical gardens, and other museums with a life-science focus.  As part of this professional development, these informal science institutions will work with local school districts to offer teacher training that enhances teaching of the life sciences.  The project consists of two components.  First, the grantee will offer an intensive training institute for educators from small science museums that will prepare them to implement professional development programs for middle-school teachers.  Then, will offer technical assistance, centering on program planning, as the educators implement the teacher development activities.  The project provides a national model for the involvement of small, but resource-rich science museums in science education."
647 Fulton St, Brooklyn,NY,11217,BRIC Arts Media Brooklyn,MA-10-18-0075-18,2018,"$150,000.00",Museum,Museums for America,MFA-Learning  Experiences,Brooklyn,NY,,"BRIC will launch Project New stART, an initiative to increase student interest in looking at, discussing, and creating art and media. The program will serve 6th-12th grade students by placing teaching artists in 12 schools in East New York, Brownsville, and Bedford-Stuyvesant. These three Central Brooklyn neighborhoods experience disproportionately high rates of gun violence and are home to several schools with high populations of students at risk of entering the juvenile justice spectrum or already moving along that spectrum, and the majority of public schools lack full or part-time arts teachers and consequently have a dearth of creative opportunities for young people. The program will provide school-based and community-based visual and media literacy and learning through contemporary art and media residencies combined with a variety of events at BRIC House as a strategy for redirecting the school to prison pipeline in the targeted neighborhoods. The project will reach 720 middle-school and high-school students over 432 total residency days."
