Institution,Log Number,Fiscal Year,Award,Recipient Type,Program,Program Categories,City,State,Issue Areas,The main body text
St. Regis Band of Mohawk Indians,NG-05-05-0001-05,2005,"$6,000.00",,Native American Library Services,Basic Grants with Education/Assessment Option,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,NG-01-04-0153-04,2004,"$4,000.00",,Native American Library Services,Basic Grants,Akwesasne,NY,,
Akwesasne Cultural Center,ML-02-03-0680-03,2003,"$73,586.00",,Learning Opportunities Grants,,Akwesasne,NY,,"Purpose: Expanding Educational Services  ""Gathering Knowledge"" is an initiative that will put new concepts into practice at the Akwesasne Museum.  Present educational programming consists mainly of traditional art classes.  This new initiative will include interviews with community members who practice either traditional or contemporary arts that convey cultural knowledge; youth response to the interviews; and a tent event to share educational resources in a format that is accessible and inviting to a large audience.  A Junior Curators group of young Mohawk people will have an educational experience in helping to design exhibits in the ""Gathering Knowledge"" Program and by visiting other institutions for a broad view of exhibits and an introduction to the field of museum work."
St. Regis Band of Mohawk Indians,NG-01-03-0074-03,2003,"$4,000.00",,Native American Library Services,Basic Grants,Akwesasne,NY,,
St. Regis Band of Mohawk Indians,LI-00-98-0094-98,1998,"$4,000.00",,Native American Library Services,Basic Grants,Akwesasne,NY,,
Akwesasne Cultural Center,IA-00-97-0081-97,1997,"$3,390.00",,Conservation Assessment Program,,Akwesasne,NY,,
New York State Education Department,LS-00-18-0033-18,2018,"$8,213,994.00",Library,LSTA State Grants,1316,Albany,NY,,"The New York State Education Department- New York State Library will use funds to support the goals of their Five-Year Plan for FY 2018-2022, which reflect the purposes and priorities of the Library Services and Technology Act (LSTA). In New York, specific goals address 1) Having improved access to library resources that advance and enhance their personal, educational and working lives; 2) Delivering new and improved library programs that anticipate and meet New Yorker's constantly changing needs for library services; 3) New Yorkers of all ages perceiving libraries as community learning spaces offering high-quality lifelong learning, literacy and knowledge creation opportunities that enhance civic engagement and economic vitality; and 4) All New Yorkers benefiting from statewide programs and services of the New York State Library that effectively leverage private and public funding through collaboration and partnerships and maximize value in order to achieve goals one, two and three."
Council of State Archivists,LG-70-17-0196-17,2017,"$210,240.00",Library,National Leadership Grants for Libraries,National Digital Platform - Project,Albany,NY,Digital Initiatives,"The Council of State Archivists (CoSA) will gather, develop, and share best practices and guidance materials to improve creation, management, preservation, and use of permanent state government digital records and information. CoSA will collaborate with the National Governors Association (NGA), the National Association of State Chief Information Officers (NASCIO), the National Association of Secretaries of State (NASS), and the Chief Officers of State Library Agencies (COSLA), as well as content creators in state government and users of government data, to help improve preservation and use of permanent state government electronic records. The project will result in the publication of five collaborative reports, ten case studies on electronic records or digital preservation issues, six webinars, and engagement with stakeholders through articles, conference presentations, and focus groups."
Research Foundation of State University of New York,LG-96-17-0144-17,2017,"$456,394.00",Library,National Leadership Grants for Libraries,Community Anchors - Research,Albany,NY,,"The Center for Technology in Government at the University of Albany, in partnership with the American Library Association's Center for the Future of Libraries, will explore the role of public libraries as community anchors in smart city initiatives to understand how public libraries can advance their role as community anchors by contributing to the community's understanding of and participation in smart city initiatives. This three-year project will use a multi-method research approach and include a literature and current practices review; case studies of Ignacio Community Library in Colorado, Saratoga Springs Public Library in New York, Chattanooga Public Library in Tennessee, and Chicago Public Library in Illinois; and a national survey. The project will result in increased and sustained relationships among public libraries, local governments, researchers, and community organizations; an Opportunity Agenda, Roadmap Report, and Smart Libraries Toolbox to guide libraries willing to advance their role as community anchors and catalysts; and demonstrable improvements in library services."
New York State Education Department,LS-00-17-0033-17,2017,"$7,973,810.00",Library,LSTA State Grants,1316,Albany,NY,,"The New York State Education Department- New York State Library will use funds to support the goals of their Five-Year Plan for FY 2013-2017, which reflect the purposes and priorities of the Library Services and Technology Act (LSTA). In New York, specific goals address 1) Having improved access to library resources that advance and enhance their personal, educational and working lives; 2) Delivering new and improved library programs that anticipate and meet New Yorker's constantly changing needs for library services; 3) New Yorkers of all ages perceiving libraries as community learning spaces offering high-quality lifelong learning, literacy and knowledge creation opportunities that enhance civic engagement and economic vitality; and 4) All New Yorkers benefiting from statewide programs and services of the New York State Library that effectively leverage private and public funding through collaboration and partnerships and maximize value in order to achieve goals one, two and three."
New York State Archives Partnership Trust,ST-03-17-0006-17,2017,"$125,760.00",Museum,Save America's Treasures,Collections,Albany,NY,,"The New York State Archives will conserve several collections of historical documents created between 1775 and 1783 that document both the Patriot government's prosecutions of Loyalists and the British occupation and government of New York City during the American Revolution. Conservation treatment of these fragile documents will be the first step in making them available to scholars, students, and the general public. The State Archives will digitize the collections after conservation to increase their accessibility."
Historic Cherry Hill,MA-30-16-0106-16,2016,"$30,841.00",Museum,Museums for America,MFA-Collections,Albany,NY,,"Historic Cherry Hill will unpack and reinstall 1,863 objects and furnishings that were stored during a seven-year restoration of the historic house. In addition to unpacking and reinstalling collections, Historic Cherry Hill will work with a conservator to design and implement a light mitigation window system to protect collections on exhibit. A planned double roller system will include blackout shades for use during museum closings, and fabric mesh solar screen shades, which are intended to be remain lowered at all times. Reinstallation of the museum's collections and the new light mitigation system will improve both the museum's public profile and the preservation of its collections. "
New York State Education Department,LS-00-16-0033-16,2016,"$8,082,104.00",Library,LSTA State Grants,1316,Albany,NY,,
Research Foundation of State University of New York,RE-04-15-0081-15,2015,"$479,997.00",,Laura Bush 21st Century Librarian Program,Research in Early Careers Development,Albany,NY,,"This research project will investigate the effect of school librarians on student academic achievement in public schools throughout New York State. This project builds upon prior research in academic achievement and school librarianship, including over 25 correlational and descriptive studies exploring the activities of school librarians and school library programs. The research team will develop robust causal models to provide evidence of the “School Librarian Effect.” This is one of the fist studies to be framed in a causal modeling context with this sample size and range of variables."
New York State Education Department,LS-00-15-0033-15,2015,"$7,929,546.00",Library,LSTA State Grants,1316,Albany,NY,,
New York State Library,RE-56-14-0042-14,2014,"$48,577.00",Library,Laura Bush 21st Century Librarian Program,Collaborative Planning Grant,Albany,NY,,"The New York State Library will use its planning grant to develop a new program to improve the quality of early literacy services and programs delivered by over 1,000 public libraries and neighborhood branches across the state. This plan will provide library staff with skills and knowledge in community assessment, creation of library early learning spaces, effective outreach strategies, and the delivery of quality parent/caregiver education for diverse audiences. During the planning phase of the project, activities will focus on the development of partnerships, a comprehensive statewide continuing education plan leveraging new technologies and in-person training, the development of resources to support training needs and service delivery, and plans for evaluation and sustainability of the project's eventual implementation phase."
New York State Education Department,LS-00-14-0033-14,2014,"$7,632,818.00",Library,Grants to State Library Administrative Agencies,,Albany,NY,,
Council of State Archivists,LG-51-14-0118-14,2014,"$48,941.00",Library,National Leadership Grants for Libraries,,Albany,NY,,"The Archives Collaborating and Cooperating with External Strategic Stakeholders (ACCESS) planning project will expand the work of the Council of State Archivists (CoSA)'s successful, IMLS-funded State Electronic Records Initiative (SERI) by engaging a diverse group of national partners, stakeholders, and other organizations to work collaboratively on increasing access to digital government records and information. The result of the planning process will be the development of a business case statement and strategic plan to sustain the collaboration necessary to increase access to digital government records and information."
Historic Cherry Hill,MA-11-14-0202-14,2014,"$23,394.00",Museum,Museums for America,Learning  Experiences (NLG-Museums),Albany,NY,"Community, Early Learning","Historic Cherry Hill will develop a public programming initiative entitled ""Outdoor Life,"" focusing on the museum's landscape to attract new audiences and better connect the museum with the local Albany community. The museum will create interactive and relevant learning experiences linking history, agriculture, and nature in four program components: a summer camp for families and children, a garden program for teens, a community event focusing on pets, and a garden lecture geared towards landscape and social history enthusiasts. Community groups and residents will participate in program development, which will create lasting partnerships and make the museum more responsive to community needs, resulting in dynamic and relevant programming."
New York State Education Department,LS-00-13-0033-13,2013,"$7,718,754.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Historic Cherry Hill,MA-30-13-0008-13,2013,"$33,427.00",,Museums for America,Collections Stewardship,Albany,NY,Collections,"Historic Cherry Hill will use IMLS funds to complete the process of moving collections from the attic of the historic 1787 Van Rensselaer family home to its Edward Frisbee Center for Collections & Research, a 3,500-square-foot, state-of-the-art facility with appropriate environmental controls, high density shelving and fire suppression. Funds will also be used to improve management of and access to collections by upgrading the museum's collections database. This project will complete the relocation of important historical objects, manuscripts, textiles, books, and photographs from a poor and potentially damaging storage environment, and make the collections both physically and digitally accessible for staff and researchers. The collections database upgrade will lay the groundwork for future digitization projects and dramatically increase access to the Van Rensselaer household collection. The project will support the museum's efforts to serve a broadening audience of users and its transformation into a center for the study of American social, political, and economic history."
"The Research Foundation for SUNY, University at Albany",RE-00-13-0087-13,2013,"$99,713.00",,Laura Bush 21st Century Librarian Program,,Albany,NY,Community,"The Role of Public Libraries in Improving Local Open Government Ecosystems, a national forum project developed by the Center for Technology in Government, University at Albany, is focused on producing actionable models and collaborative partnerships between public libraries and local governments. Local open government ecosystems feature relationships of mutual interdependence with community organizations like libraries. These relationships are of growing concern to the library profession as librarians now help the public navigate online government services. The project will assist local governments in seeing ways to utilize partnerships and provide guide posts for developing partnerships with libraries. The forum will include development of a concept paper, use of online tools to solicit input from stakeholders, a face-to-face workshop, and a widely distributed report."
Research Foundation of the State University of New York,RE-55-13-0045-13,2013,"$49,435.00",,Laura Bush 21st Century Librarian Program,Collaborative Planning Grant,Albany,NY,"Collections, STEM","SUNY Albany's Educational Assessment and Evaluation for School Librarians and Teachers responds to calls for transparency and accountability in education. The project will also address public demands for higher standards, accountability, and effective instruction by training future educators in the design and development of the best assessment and evaluation practices available. These include targeting learning needs and providing culturally inclusive instructional materials for learners.    The partners, which include SUNY's Department of Information Studies, School of Education, and the Association for the Cooperative Advancement of Science and Education,    will use this planning grant to identify critical capabilities; create an assessment and evaluation course for 70 students; develop opportunities for school librarian and media specialists (SLMS) and teachers to align curriculum with assessment; and facilitate collaboration among classroom teachers and SLMS."
New York State Library,LS-00-12-0033-12,2012,"$8,146,018.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
New York State Library,LS-00-11-0033-11,2011,"$3,913,714.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History and Art,MA-04-11-0264-11,2011,"$137,608.00",,Museums for America,Engaging Communities,Albany,NY,,"The Albany Institute of History and Art will plan and implement a major exhibition as well as related formative evaluation, community feedback meetings, and audience development initiatives. Project activities will be focused around four significant objects in its ancient Egypt collection: two coffins and two mummies (21st Dynasty and Ptolemaic). The project will include five areas of activity: formative evaluation, community outreach and audience development, exhibition planning, exhibition installation, education planning, publications, and public relations and marketing. The exhibition will reunite Ankhefenmut's 21st Dynasty coffin bottom located in Albany, NY, with the mummy cover from London and the coffin lid from Vienna."
New York State Library,LS-00-10-0033-10,2010,"$9,502,651.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History & Art,MA-04-10-0010-10,2010,"$147,904.00",,Museums for America,Engaging Communities,Albany,NY,,"The Albany Institute of History & Art (AIHA) will initiate a “Digital Renaissance” by redesigning and rebuilding its Web site to allow AIHA virtual visitors to experience the rich history and cultural heritage of Albany and the Hudson Valley and connect with an online community of like-minded peers. The new, dynamic Web site will allow the community members to construct their own explorations of the resources. The new online experience will provide increased access to the collections, education programs, and exhibits, and it will serve as an interpretive tool for a variety of audiences, thereby strengthening the Institute's ability to engage current visitors and reach new audiences. The project will be guided by community input and a partnership with Rensselaer Polytechnic Institute."
State University of New York,RE-04-10-0053-10,2010,"$325,780.00",,Laura Bush 21st Century Librarian Program,Research in Early Careers Development,Albany,NY,,"This Early Career Development grant to Xiaojun Yuan, an Assistant Professor at the University at Albany, State University of New York, supports research about problems of enhanced query length and enhanced user interaction with digital libraries and other information systems. This project will be conducted over a two-year period and will investigate the effectiveness of using speech and gesture to interact with information systems. The result of the project will be a new model for user interaction with digital libraries."
New York State Library,LS-00-09-0033-09,2009,"$3,111,534.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
New York State Education Department,LG-41-08-0021-08,2008,"$37,277.00",,Connecting to Collections Statewide Grants,Statewide Planning Grants,Albany,NY,,"The New York State Education Department, in partnership with New York State Council on the Arts, New York Library Association, New York Archives Alliance, Museum Association of New York, Lower Hudson Conference of Historical Agencies & Museums, and Upstate History Alliance, will survey the state's cultural repositories to learn the risks to their collections, challenges in preserving their collections, and their need for education. They will seek to better understand the obstacles to receiving training – including cost, travel time, and time away from work. From this, they will learn which formats (site visits, publications, workshops, online training) work best for the institutions. Topics for preservation education and assistance will also include disaster preparedness and response, surveys, security, environmental controls, and funding."
New York State Education Department,CL-00-08-0001-08,2008,"$80,567.00",,Congressionally-Directed Grants,,Albany,NY,,
New York State Library,LS-00-08-0033-08,2008,"$2,042,000.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History And Art,MA-04-08-0053-08,2008,"$145,443.00",,Museums for America,Engaging Communities,Albany,NY,,
"Research Foundation of the State University of New York, Oneonta",MP-00-08-0046-08,2008,"$238,584.00",,21st Century Museum Professionals Program,,Albany,NY,,"SUNY's Cooperstown Graduate Program will partner with the Museum Association of New York and the New York State Historical Association to create an institute to train the next generation of cultural “entrepreneurs.” Focusing on the Northeast region, participants will be selected from a wide range of museums. Coursework will be designed to spark innovation and creativity in the planning and execution of all aspects of museum work, and to refine  the skills and abilities of mid-career museum staff that will prepare them for future leadership roles. The institute will use a case-study, interactive approach with leaders who have led fundamental change within their own institutions. All materials will be recorded and made available on a companion Web site that will be accessible to institute participants as well as to the field, scholars, and the public."
New York State Library,LS-00-07-0033-07,2007,"$3,457,282.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
New York State Library,LS-00-06-0033-06,2006,"$2,286,705.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Historic Cherry Hill,MP-00-06-0011-06,2006,"$17,593.00",,21st Century Museum Professionals Program,,Albany,NY,,"Historic Cherry Hill (HCH), in partnership with the Upstate History Alliance (UHA), will share knowledge and expertise with small history museums and historic sites in the region to help them protect and preserve their collections.  HCH will present a series of six workshops on techniques and procedures that can be used to protect valuable and fragile collection objects from damage caused by insect pests and other vermin.  Special emphasis will be placed on procedures that are feasible for small institutions.  UHA will assist with promoting the workshops and identifying both paid and volunteer staff at regional institutions to participate in the program.  The project will also include the creation of a comprehensive teaching aid on CD that will be widely accessible to the staffs of small institutions that are caring for the rich heritage of the region with limited resources."
New York State Department of Education,ST-03-06-0010-06,2006,"$128,683.00",,Save America's Treasures,,Albany,NY,,
New York State Library,LS-00-05-0033-05,2005,"$2,285,710.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History And Art,MA-02-05-0425-05,2005,"$86,784.00",,Museums for America,Supporting Lifelong Learning,Albany,NY,,
"State University of New York at Albany, School of Information Science and Policy",RE-04-05-0024-05,2005,"$153,767.00",,Laura Bush 21st Century Librarian Program,Research in Early Careers Development,Albany,NY,,"The State University of New York at Albany School of Information Science and Policy will improve education and training of visual resources (VR) professionals by providing the library community with the information necessary to support the development of successful training and education programs for the next generation of VR professionals. This research will identify current and future competencies required for the profession and evaluate American Library Association-accredited library and information science (LIS) schools for their capacity to meet these competencies. Guidelines and a statement of core competencies will be established to serve as potential standards for the training and education of VR professionals. In addition, a strategic document consisting of recommendations and strategies as well as instructional modules will be created to facilitate the integration of core competencies into existing LIS programs. Materials will be created that are targeted toward recruitment of minorities and distributed to historically black- and Hispanic-serving colleges. Match: $77,845"
Historic Cherry Hill,IC-01-04-0113-04,2004,"$48,041.00",,,Survey of Collections,Albany,NY,,"To conduct a detailed condition survey of the Museum's 4,132-item textile collection, an important collection acquired by five generations of the Van Rensselaer-Rankin family and housed in a 1787 historic structure. Applicant Match: $51,692."
New York State Library,LS-00-04-0033-04,2004,"$2,251,129.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Historic Cherry Hill,MA-01-04-0700-04,2004,"$25,837.00",,Museums for America,Sustaining Cultural Heritage,Albany,NY,,"Purpose: Sustaining Cultural Heritage  Cherry Hill, on a 900-acre farm outside Albany, New York, was built in 1787 by Philip and Maria Van Rensselaer. It was home to five generations of the family from 1787 through 1963-176 years of continuous family living in the eighteenth, nineteenth, and twentieth centuries. The Rankin family maintained the site in the twentieth century, preserving its furnishings and other artifacts. The last family resident, Emily Watkinson Rankin, died in 1963. In accordance with her will, Historic Cherry Hill became a public museum. In this two-year project, the museum will assess the organization of its 30,000-piece manuscript collection, develop a plan to reorganize and rehouse the collection to better meet the needs of the museum and outside researchers, and conduct a detailed inventory. The manuscripts span all five generations of the Van Rensselaer-Rankin families and include personal correspondence, business records, papers relating to the household (including slave ownership), and legal documents. There are references to events of global interest, including major wars, the California Gold Rush, and the women's suffrage movement. Reorganization and relocation of the collection will enable the museum to establish itself as an important resource center in the study of American history."
New York State Library,RE-01-04-0053-04,2004,"$995,630.00",,Laura Bush 21st Century Librarian Program,Master's Level Programs,Albany,NY,,"The New York State Library, in collaboration with 13 library systems and 6 schools of library and information science, will create Teaching Libraries across the state to provide practical, hands-on experience for librarian recruits from the system's member libraries. Financial support will be provided to 48 master's-level students who represent diverse groups and who will acquire competencies for serving diverse populations.  Match: $645,058"
Albany Institute of History And Art,IM-03-03-0100-03,2003,"$2,970.00",,Museum Assessment Program,Public Dimension,Albany,NY,,
New York State Library,LS-00-03-0033-03,2003,"$9,004,514.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History And Art,CM-00-02-0041-02,2002,"$125,000.00",,Congressionally-Directed Grants,,Albany,NY,,
Ten Broeck Mansion-Arbour Hill,IA-00-02-0086-02,2002,"$6,370.00",,Conservation Assessment Program,,Albany,NY,,
Historic Cherry Hill,IG-00-02-0115-02,2002,"$43,540.00",,General Operating Support,,Albany,NY,,
Albany Institute of History And Art,IG-00-02-0557-02,2002,"$112,500.00",,General Operating Support,,Albany,NY,,
New York State Library,LS-00-02-0033-02,2002,"$9,034,408.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
New York State Library,LS-00-01-0033-01,2001,"$9,030,594.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Albany Institute of History And Art,NC-00-01-0017-01,2001,"$162,821.00",,National Leadership Grants for Museums,Museums in the Community,Albany,NY,,"The Albany Institute of History and Art in partnership with the City School District of Albany will create the Center for Museum Learning, a coordinating body to increase the use of museum resources in school curricula.  The Center, housed at the Albany Institute with satellite centers at area schools and museums, will create a clearinghouse of object-based museum school curricula, ongoing professional development for educators, research in object based teaching/learning, compilations of museum resources from several museums and historic sites in the area, and use of distance learning technologies (on-line resource and videoconferencing)."
Historic Cherry Hill,IC-00-00-0066-00,2000,"$43,678.00",,,,Albany,NY,,
New York State Museum,IC-00-00-0122-00,2000,"$25,632.00",,,,Albany,NY,,
Historic Cherry Hill,IG-00-00-0792-00,2000,"$37,562.00",,General Operating Support,,Albany,NY,,
New York State Library,LS-00-00-0032-00,2000,"$8,287,078.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
NYLINK,NE-01-00-0015-00,2000,"$123,405.00",Library,National Leadership Grants for Libraries,Education and Training,Albany,NY,,
Albany Institute of History And Art,IL-00-99-0036-99,1999,"$50,000.00",,National Leadership Grants for Museums,Museums in the Community,Albany,NY,,"The Albany Institute of History and Art has initiated a collaboration with the Albany County Nursing Home to develop Remembering Together, a set of cultural resources to enhance the quality of family visits to nursing home residents with dementia. The museum will develop kits including cultural resources and guided activities about the art and history of the region. The kits can be checked out and used by families during visits to their relatives to improve the quality of their time spent together.  An evaluation plan will measure the effect of this strategy on the nursing home patients and their families."
New York State Museum,IM-02-99-0113-99,1999,"$1,775.00",,Museum Assessment Program,Collections Management,Albany,NY,,
New York State Library,LS-00-99-0032-99,1999,"$8,165,965.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
"University at Albany, University Art Museum",IM-03-98-0073-98,1998,"$2,970.00",,Museum Assessment Program,Public Dimension,Albany,NY,,
"University at Albany, State University of New York, School of Information Science and Policy",LL-02-98-0102-98,1998,"$176,138.00",Library,National Leadership Grants for Libraries,Research and Demonstration,Albany,NY,,
New York State Library,LS-00-98-0047-98,1998,"$8,277,040.00",,Grants to State Library Administrative Agencies,,Albany,NY,,
Historic Cherry Hill,IG-00-97-0748-97,1997,"$30,232.00",,General Operating Support,,Albany,NY,,
Albany Institute of History And Art,IL-00-97-0065-97,1997,"$29,000.00",,National Leadership Grants for Museums,Museums in the Community,Albany,NY,,"The Albany Institute of History and Art, in conjunction with the Albany County Department of Aging and the Albany-Colonie Regional Chamber of Commerce, plan to create Mature Meaning: Senior Adults and the Museum, a series of pilot educational programs that include conversations about art/history, artmaking/writing activities, and the viewing of original art and artifacts. Mature Meaning will make cultural resources available to those who lack adequate opportunities to participate in the arts or are unfamiliar with the art museum experience. *Awarded under Museum Leadership Initiatives program - now part of National Leadership Grants for Museums"
"Research Foundation for the State University of New York, The",LG-96-18-0185-18,2018,"$346,043.00",Library,National Leadership Grants for Libraries,Community Anchors - Research,Amherst,NY,,"University of Buffalo will lead a research-practice collaboration in partnership with the University of Wisconsin-Madison, Buffalo and Erie County Public Library, and Madison Public Library. The project will engage researchers and library staff in the study and co-design of assessments of learning in makerspaces. The project responds to librarians' need to better assess facilitated learning in their spaces, patrons' desire for constructive formative and summative feedback, and a need for guidance on how best to act on assessment data for all. Ultimately, the project will result in the development of adaptable assessment tools that will support librarians' development of assessment literacies for promoting lifelong learning for inquiry-based, hands-on learning experiences."
Amherst Museum,IM-02-05-0091-05,2005,"$2,325.00",,Museum Assessment Program,Collections Management,Amherst,NY,,
Amherst Museum,IM-01-04-0003-04,2004,"$2,325.00",,Museum Assessment Program,Institutional Assessment,Amherst,NY,,
Research Foundation of the State University of New York,LG-02-04-0071-04,2004,"$266,881.00",Library,National Leadership Grants for Libraries,Research and Demonstration,Amherst,NY,,"The SUNY Buffalo School of Informatics will conduct a follow-up of a 2000 national baseline survey of public use of the Internet and the public library to document the changes that have occurred in the consumer markets for the Internet and the public library, the impacts of Internet use on the library, and any trends in the data that would suggest how the relationship between the Internet and the public library might be evolving and how public libraries could adjust to these trends. The researchers will also conduct a complementary national survey to investigate why public library users who have Internet access at home continue to use the library for information."
