"zip","industry","year","all","class1","class2","class3","class4","class5","class6","class7","class8","class9","weighted_all","weighted_class1","weighted_class2","weighted_class3","weighted_class4","weighted_class5","weighted_class6","weighted_class7","weighted_class8","weighted_class9"
10001,"Music publishers",2014,9,6,0,1,2,0,0,0,0,0,87,12,0,15,60,0,0,0,0,0
10001,"Music publishers",2015,6,3,1,2,0,0,0,0,0,0,43,6,7,30,0,0,0,0,0,0
10001,"Musical groups and artists",2005,12,10,2,0,0,0,0,0,0,0,34,20,14,0,0,0,0,0,0,0
10001,"Musical groups and artists",2006,10,6,4,0,0,0,0,0,0,0,40,12,28,0,0,0,0,0,0,0
10001,"Musical groups and artists",2007,17,11,4,1,1,0,0,0,0,0,95,22,28,15,30,0,0,0,0,0
10001,"Musical groups and artists",2008,16,11,3,1,1,0,0,0,0,0,88,22,21,15,30,0,0,0,0,0
10001,"Musical groups and artists",2009,15,13,2,0,0,0,0,0,0,0,40,26,14,0,0,0,0,0,0,0
10001,"Musical groups and artists",2010,14,11,1,1,1,0,0,0,0,0,74,22,7,15,30,0,0,0,0,0
10001,"Musical groups and artists",2011,13,9,2,1,1,0,0,0,0,0,77,18,14,15,30,0,0,0,0,0
10001,"Musical groups and artists",2012,11,6,3,1,1,0,0,0,0,0,78,12,21,15,30,0,0,0,0,0
10001,"Musical groups and artists",2013,13,9,1,2,1,0,0,0,0,0,85,18,7,30,30,0,0,0,0,0
10001,"Musical groups and artists",2014,11,7,2,1,1,0,0,0,0,0,73,14,14,15,30,0,0,0,0,0
10001,"Musical groups and artists",2015,10,6,1,1,1,1,0,0,0,0,134,12,7,15,30,70,0,0,0,0
10001,"Record production",2005,4,4,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
10001,"Record production",2006,7,6,0,1,0,0,0,0,0,0,27,12,0,15,0,0,0,0,0,0
10001,"Record production",2007,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10001,"Record production",2008,4,4,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
10001,"Record production",2009,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10001,"Record production",2010,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10001,"Record production",2011,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10001,"Record production",2012,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10001,"Record production",2013,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10001,"Record production",2014,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10001,"Record production",2015,2,0,1,1,0,0,0,0,0,0,22,0,7,15,0,0,0,0,0,0
10001,"Sound recording studios",2005,19,13,5,1,0,0,0,0,0,0,76,26,35,15,0,0,0,0,0,0
10001,"Sound recording studios",2006,20,15,4,1,0,0,0,0,0,0,73,30,28,15,0,0,0,0,0,0
10001,"Sound recording studios",2007,22,14,6,2,0,0,0,0,0,0,100,28,42,30,0,0,0,0,0,0
10001,"Sound recording studios",2008,19,14,4,1,0,0,0,0,0,0,71,28,28,15,0,0,0,0,0,0
10001,"Sound recording studios",2009,22,17,4,1,0,0,0,0,0,0,77,34,28,15,0,0,0,0,0,0
10001,"Sound recording studios",2010,20,15,5,0,0,0,0,0,0,0,65,30,35,0,0,0,0,0,0,0
10001,"Sound recording studios",2011,22,17,3,2,0,0,0,0,0,0,85,34,21,30,0,0,0,0,0,0
10001,"Sound recording studios",2012,20,16,4,0,0,0,0,0,0,0,60,32,28,0,0,0,0,0,0,0
10001,"Sound recording studios",2013,20,16,4,0,0,0,0,0,0,0,60,32,28,0,0,0,0,0,0,0
10001,"Sound recording studios",2014,19,14,4,1,0,0,0,0,0,0,71,28,28,15,0,0,0,0,0,0
10001,"Sound recording studios",2015,16,12,3,1,0,0,0,0,0,0,60,24,21,15,0,0,0,0,0,0
10001,"Theater companies and dinner theaters",2005,11,5,0,2,2,0,2,0,0,0,440,10,0,30,60,0,340,0,0,0
10001,"Theater companies and dinner theaters",2006,12,3,3,1,2,1,1,1,0,0,712,6,21,15,60,70,170,370,0,0
10001,"Theater companies and dinner theaters",2007,12,5,2,2,1,0,1,1,0,0,624,10,14,30,30,0,170,370,0,0
10001,"Theater companies and dinner theaters",2008,14,7,1,2,1,1,1,1,0,0,691,14,7,30,30,70,170,370,0,0
10001,"Theater companies and dinner theaters",2009,16,9,2,0,2,1,2,0,0,0,502,18,14,0,60,70,340,0,0,0
10001,"Theater companies and dinner theaters",2010,14,7,1,2,1,1,2,0,0,0,491,14,7,30,30,70,340,0,0,0
10001,"Theater companies and dinner theaters",2011,17,10,1,1,2,2,1,0,0,0,412,20,7,15,60,140,170,0,0,0
10001,"Theater companies and dinner theaters",2012,16,8,1,2,2,2,1,0,0,0,423,16,7,30,60,140,170,0,0,0
10001,"Theater companies and dinner theaters",2013,17,7,1,2,3,3,1,0,0,0,521,14,7,30,90,210,170,0,0,0
10001,"Theater companies and dinner theaters",2014,16,7,1,2,4,1,1,0,0,0,411,14,7,30,120,70,170,0,0,0
10001,"Theater companies and dinner theaters",2015,16,11,0,2,1,1,1,0,0,0,322,22,0,30,30,70,170,0,0,0
10002,"Dance companies",2005,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Dance companies",2006,4,4,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0
10002,"Dance companies",2007,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Dance companies",2008,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Dance companies",2009,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Dance companies",2010,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Dance companies",2011,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Dance companies",2012,1,0,0,1,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0
10002,"Dance companies",2013,1,0,0,1,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0
10002,"Dance companies",2014,2,1,0,1,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,0
10002,"Dance companies",2015,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2005,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Fine arts schools",2006,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2007,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Fine arts schools",2008,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2009,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2010,4,3,1,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2011,4,3,1,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2012,5,4,1,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2013,5,4,1,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2014,4,3,1,0,0,0,0,0,0,0,13,6,7,0,0,0,0,0,0,0
10002,"Fine arts schools",2015,3,2,0,1,0,0,0,0,0,0,19,4,0,15,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2005,14,14,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2006,16,16,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2007,13,13,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2008,17,16,1,0,0,0,0,0,0,0,39,32,7,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2009,19,19,0,0,0,0,0,0,0,0,38,38,0,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2010,20,18,1,1,0,0,0,0,0,0,58,36,7,15,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2011,24,23,1,0,0,0,0,0,0,0,53,46,7,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2012,20,18,2,0,0,0,0,0,0,0,50,36,14,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2013,23,20,3,0,0,0,0,0,0,0,61,40,21,0,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2014,27,23,3,1,0,0,0,0,0,0,82,46,21,15,0,0,0,0,0,0
10002,"Independent artists, writers, and performers",2015,34,29,4,1,0,0,0,0,0,0,101,58,28,15,0,0,0,0,0,0
10002,"Integrated record production/distribution",2009,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Motion picture and video production",2005,5,3,2,0,0,0,0,0,0,0,20,6,14,0,0,0,0,0,0,0
10002,"Motion picture and video production",2006,6,5,1,0,0,0,0,0,0,0,17,10,7,0,0,0,0,0,0,0
10002,"Motion picture and video production",2007,10,10,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0
10002,"Motion picture and video production",2008,8,8,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0
10002,"Motion picture and video production",2009,11,10,1,0,0,0,0,0,0,0,27,20,7,0,0,0,0,0,0,0
10002,"Motion picture and video production",2010,13,13,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0
10002,"Motion picture and video production",2011,17,14,3,0,0,0,0,0,0,0,49,28,21,0,0,0,0,0,0,0
10002,"Motion picture and video production",2012,20,14,2,3,0,0,1,0,0,0,257,28,14,45,0,0,170,0,0,0
10002,"Motion picture and video production",2013,18,12,3,1,0,2,0,0,0,0,200,24,21,15,0,140,0,0,0,0
10002,"Motion picture and video production",2014,24,20,2,1,0,1,0,0,0,0,139,40,14,15,0,70,0,0,0,0
10002,"Motion picture and video production",2015,22,18,3,0,1,0,0,0,0,0,87,36,21,0,30,0,0,0,0,0
10002,"Museums",2005,4,3,0,0,0,1,0,0,0,0,76,6,0,0,0,70,0,0,0,0
10002,"Museums",2006,5,4,0,0,0,1,0,0,0,0,78,8,0,0,0,70,0,0,0,0
10002,"Museums",2007,6,4,1,0,0,1,0,0,0,0,85,8,7,0,0,70,0,0,0,0
10002,"Museums",2008,6,4,1,0,0,1,0,0,0,0,85,8,7,0,0,70,0,0,0,0
10002,"Museums",2009,5,3,1,0,0,1,0,0,0,0,83,6,7,0,0,70,0,0,0,0
10002,"Museums",2010,3,1,1,0,0,1,0,0,0,0,79,2,7,0,0,70,0,0,0,0
10002,"Museums",2011,4,2,1,0,0,1,0,0,0,0,81,4,7,0,0,70,0,0,0,0
10002,"Museums",2012,6,2,2,1,0,1,0,0,0,0,103,4,14,15,0,70,0,0,0,0
10002,"Museums",2013,6,2,3,0,1,0,0,0,0,0,55,4,21,0,30,0,0,0,0,0
10002,"Museums",2014,7,1,5,0,0,1,0,0,0,0,107,2,35,0,0,70,0,0,0,0
10002,"Museums",2015,7,2,3,1,0,1,0,0,0,0,110,4,21,15,0,70,0,0,0,0
10002,"Music publishers",2005,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Music publishers",2006,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Music publishers",2007,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Music publishers",2008,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Music publishers",2012,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Music publishers",2015,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2005,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10002,"Musical groups and artists",2006,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10002,"Musical groups and artists",2007,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Musical groups and artists",2008,1,0,1,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0
10002,"Musical groups and artists",2009,2,1,1,0,0,0,0,0,0,0,9,2,7,0,0,0,0,0,0,0
10002,"Musical groups and artists",2010,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2011,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2012,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2013,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2014,3,3,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
10002,"Musical groups and artists",2015,1,0,1,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0
10002,"Sound recording studios",2005,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2006,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2008,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2009,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2010,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Sound recording studios",2011,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Sound recording studios",2012,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2013,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10002,"Sound recording studios",2014,2,1,0,1,0,0,0,0,0,0,17,2,0,15,0,0,0,0,0,0
10002,"Sound recording studios",2015,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
10002,"Theater companies and dinner theaters",2005,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Theater companies and dinner theaters",2006,3,2,1,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0
10002,"Theater companies and dinner theaters",2007,5,2,1,0,1,0,1,0,0,0,211,4,7,0,30,0,170,0,0,0
10002,"Theater companies and dinner theaters",2008,5,3,0,1,0,0,1,0,0,0,191,6,0,15,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2009,5,4,0,0,0,1,0,0,0,0,78,8,0,0,0,70,0,0,0,0
10002,"Theater companies and dinner theaters",2010,5,3,1,0,0,0,1,0,0,0,183,6,7,0,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2011,5,3,1,0,0,0,1,0,0,0,183,6,7,0,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2012,5,1,3,0,0,0,1,0,0,0,193,2,21,0,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2013,4,2,1,0,0,0,1,0,0,0,181,4,7,0,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2014,5,2,2,0,0,0,1,0,0,0,188,4,14,0,0,0,170,0,0,0
10002,"Theater companies and dinner theaters",2015,6,1,3,1,0,0,1,0,0,0,208,2,21,15,0,0,170,0,0,0
10003,"Dance companies",2005,12,5,4,1,0,1,0,1,0,0,493,10,28,15,0,70,0,370,0,0
10003,"Dance companies",2006,12,5,4,1,0,1,0,1,0,0,493,10,28,15,0,70,0,370,0,0
10003,"Dance companies",2007,13,9,0,2,1,0,0,1,0,0,448,18,0,30,30,0,0,370,0,0
10003,"Dance companies",2008,13,8,3,1,0,0,0,1,0,0,422,16,21,15,0,0,0,370,0,0
10003,"Dance companies",2009,15,12,1,1,0,0,0,1,0,0,416,24,7,15,0,0,0,370,0,0
10003,"Dance companies",2010,14,10,1,2,0,0,0,1,0,0,427,20,7,30,0,0,0,370,0,0
10003,"Dance companies",2011,15,12,1,1,0,0,0,1,0,0,416,24,7,15,0,0,0,370,0,0
10003,"Dance companies",2012,10,4,1,4,0,0,0,1,0,0,445,8,7,60,0,0,0,370,0,0
10003,"Dance companies",2013,11,4,3,3,0,0,0,1,0,0,444,8,21,45,0,0,0,370,0,0
10003,"Dance companies",2014,13,7,1,3,1,0,0,1,0,0,466,14,7,45,30,0,0,370,0,0
10003,"Dance companies",2015,11,3,1,4,1,1,0,1,0,0,543,6,7,60,30,70,0,370,0,0
10003,"Fine arts schools",2005,15,3,4,0,4,3,1,0,0,0,534,6,28,0,120,210,170,0,0,0
10003,"Fine arts schools",2006,15,3,2,2,3,4,1,0,0,0,590,6,14,30,90,280,170,0,0,0
10003,"Fine arts schools",2007,15,4,2,2,4,2,1,0,0,0,482,8,14,30,120,140,170,0,0,0
10003,"Fine arts schools",2008,16,5,0,3,4,3,1,0,0,0,555,10,0,45,120,210,170,0,0,0
10003,"Fine arts schools",2009,18,7,0,4,3,2,2,0,0,0,644,14,0,60,90,140,340,0,0,0
10003,"Fine arts schools",2010,16,5,2,2,5,1,1,0,0,0,444,10,14,30,150,70,170,0,0,0
10003,"Fine arts schools",2011,17,8,1,4,2,0,2,0,0,0,483,16,7,60,60,0,340,0,0,0
10003,"Fine arts schools",2012,20,9,2,3,1,3,2,0,0,0,657,18,14,45,30,210,340,0,0,0
10003,"Fine arts schools",2013,17,6,4,2,0,3,2,0,0,0,620,12,28,30,0,210,340,0,0,0
10003,"Fine arts schools",2014,13,4,2,1,1,3,2,0,0,0,617,8,14,15,30,210,340,0,0,0
10003,"Fine arts schools",2015,15,6,3,0,1,3,2,0,0,0,613,12,21,0,30,210,340,0,0,0
